"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 22:44:37 GMT 2023","Thu Apr 27 22:44:54 GMT 2023","17703","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","TC13 - Counting number of blog items","Add the number of blog posts with paginating the pages"
"passed","Thu Apr 27 22:44:21 GMT 2023","Thu Apr 27 22:44:23 GMT 2023","1608","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture","TC20 - Save picture1","TC20 - Save picture to an existing file"
"passed","Thu Apr 27 22:45:00 GMT 2023","Thu Apr 27 22:45:02 GMT 2023","1336","","tests.LoginTest","","tests.LoginTest","testLoginWithMissingUsername","TC7 - Wrong login1","Login with missing username"
"failed","Thu Apr 27 22:44:04 GMT 2023","Thu Apr 27 22:44:11 GMT 2023","6253","","tests.NavigationTest","","tests.NavigationTest","testPrivacyAndPolicyLink","TC24 - Test Privacy and policy link","Clicking on Privacy and Policy link the user is thrown out of Portio webpage"
"failed","Thu Apr 27 22:44:07 GMT 2023","Thu Apr 27 22:44:11 GMT 2023","4685","","tests.DataInputTest","","tests.DataInputTest","testContactForm","TC16 - Send message with Contact Form","Unsuccessful message sending: 'Oops! There was a problem.'"
"passed","Thu Apr 27 22:44:23 GMT 2023","Thu Apr 27 22:44:24 GMT 2023","1444","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture2","TC21 - Save picture2","Save picture with creating the file at the same time or deleting it if it exists"
"failed","Thu Apr 27 22:44:24 GMT 2023","Thu Apr 27 22:44:28 GMT 2023","3927","","tests.DataSavingTest","","tests.DataSavingTest","testFileDownload","TC22 - Test downloading CV","Failed download by clicking on 'Download CV' button"
"passed","Thu Apr 27 22:43:47 GMT 2023","Thu Apr 27 22:44:04 GMT 2023","17376","","tests.NavigationTest","","tests.NavigationTest","testFacebookLink","TC25 - Test Facebook link","Clicking on Facebook link the user navigates to Facebook webpage"
"passed","Thu Apr 27 22:44:11 GMT 2023","Thu Apr 27 22:44:13 GMT 2023","2160","","tests.NavigationTest","","tests.NavigationTest","testButtonHireMe","TC23 - Test 'Hire Me Now' button","Test if 'Hire Me Now' button navigates to Contact page"
"passed","Thu Apr 27 22:44:11 GMT 2023","Thu Apr 27 22:44:14 GMT 2023","2855","","tests.DataInputTest","","tests.DataInputTest","testSetProfile","TC15 - Set Profile","Set profile by giving credentials"
"passed","Thu Apr 27 22:43:47 GMT 2023","Thu Apr 27 22:43:59 GMT 2023","12751","","tests.RegistrationTest","","tests.RegistrationTest","testRegistration","TC3 - Registration","Registration with right credentials"
"passed","Thu Apr 27 22:44:28 GMT 2023","Thu Apr 27 22:44:37 GMT 2023","8265","","tests.ListTraversalTest","","tests.ListTraversalTest","testWriteBlogTitlesFile","TC14 - Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
"passed","Thu Apr 27 22:45:02 GMT 2023","Thu Apr 27 22:45:03 GMT 2023","1883","","tests.DataListingTest","","tests.DataListingTest","testGetContactInfo","TC12 - Contact information","Compare expected HashMap of Contact information with a given JSON file"
"failed","Thu Apr 27 22:44:02 GMT 2023","Thu Apr 27 22:44:06 GMT 2023","3415","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithWrongEmail","TC5 - Registration, Wrong email","Registration using wrong email"
"passed","Thu Apr 27 22:44:18 GMT 2023","Thu Apr 27 22:44:21 GMT 2023","3120","","tests.SequentialDataInputTest","","tests.SequentialDataInputTest","testLoginMultipleUsers","TC17 - Sequential login","Login repeatedly with valid credentials from JSON file."
"passed","Thu Apr 27 22:44:02 GMT 2023","Thu Apr 27 22:44:07 GMT 2023","4546","","tests.LogoutTest","","tests.LogoutTest","testLogout","TC26 - Logout","Logging out after logging in"
"failed","Thu Apr 27 22:44:56 GMT 2023","Thu Apr 27 22:44:57 GMT 2023","1484","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testNotAcceptTerms","TC2 - Refuse accepting terms","Refuse accepting terms by clicking on Close Icon"
"passed","Thu Apr 27 22:45:03 GMT 2023","Thu Apr 27 22:45:05 GMT 2023","2012","","tests.DataListingTest","","tests.DataListingTest","testExperience","TC10 - Names of workplaces","Collect workplaces in String array and compare to a given file"
"passed","Thu Apr 27 22:44:59 GMT 2023","Thu Apr 27 22:45:00 GMT 2023","1558","","tests.LoginTest","","tests.LoginTest","testLogin","TC6 - Login","Login with right credentials, accepting terms"
"failed","Thu Apr 27 22:44:00 GMT 2023","Thu Apr 27 22:44:02 GMT 2023","2363","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithMissingPassword","TC4 - Registration, Wrong password","Registration using wrong password"
"passed","Thu Apr 27 22:44:14 GMT 2023","Thu Apr 27 22:44:18 GMT 2023","3751","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","TC19 - Delete Account","Click profile and delete account, then try login again"
"passed","Thu Apr 27 22:45:07 GMT 2023","Thu Apr 27 22:45:15 GMT 2023","7551","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","TC11 - Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"passed","Thu Apr 27 22:45:05 GMT 2023","Thu Apr 27 22:45:07 GMT 2023","1930","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","TC9 - Number of workplaces","Get the size of workplaces' list"
"failed","Thu Apr 27 22:43:47 GMT 2023","Thu Apr 27 22:44:02 GMT 2023","15024","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","TC18 - Test profile name","Test if profile name is visible after setting account"
"passed","Thu Apr 27 22:44:54 GMT 2023","Thu Apr 27 22:44:56 GMT 2023","1500","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testAcceptTerms","TC1 - Accept terms","Accept terms by clicking on OK button before Registration"
"passed","Thu Apr 27 22:44:57 GMT 2023","Thu Apr 27 22:44:59 GMT 2023","1346","","tests.LoginTest","","tests.LoginTest","testLoginWithWrongPassword","TC8 - Wrong login2","Login with wrong password"
