"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Apr 27 21:34:31 GMT 2023","Thu Apr 27 21:34:38 GMT 2023","6885","","tests.NavigationTest","","tests.NavigationTest","testPrivacyAndPolicyLink","TC24 - Test Privacy and policy link","Clicking on Privacy and Policy link the user is thrown out of Portio webpage"
"passed","Thu Apr 27 21:34:17 GMT 2023","Thu Apr 27 21:34:25 GMT 2023","8381","","tests.RegistrationTest","","tests.RegistrationTest","testRegistration","TC3 - Registration","Registration with right credentials"
"failed","Thu Apr 27 21:34:26 GMT 2023","Thu Apr 27 21:34:28 GMT 2023","2594","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithMissingPassword","TC4 - Registration, Wrong password","Registration using wrong password"
"passed","Thu Apr 27 21:35:32 GMT 2023","Thu Apr 27 21:35:34 GMT 2023","2404","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","TC9 - Number of workplaces","Get the size of workplaces' list"
"failed","Thu Apr 27 21:34:28 GMT 2023","Thu Apr 27 21:34:32 GMT 2023","3477","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithWrongEmail","TC5 - Registration, Wrong email","Registration using wrong email"
"passed","Thu Apr 27 21:35:03 GMT 2023","Thu Apr 27 21:35:21 GMT 2023","17491","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","TC13 - Counting number of blog items","Add the number of blog posts with paginating the pages"
"failed","Thu Apr 27 21:34:17 GMT 2023","Thu Apr 27 21:34:28 GMT 2023","11268","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","TC18 - Test profile name","Test if profile name is visible after setting account"
"passed","Thu Apr 27 21:35:25 GMT 2023","Thu Apr 27 21:35:26 GMT 2023","1581","","tests.LoginTest","","tests.LoginTest","testLogin","TC6 - Login","Login with right credentials, accepting terms"
"passed","Thu Apr 27 21:34:39 GMT 2023","Thu Apr 27 21:34:42 GMT 2023","2765","","tests.DataInputTest","","tests.DataInputTest","testSetProfile","TC15 - Set Profile","Set profile by giving credentials"
"passed","Thu Apr 27 21:35:34 GMT 2023","Thu Apr 27 21:35:42 GMT 2023","7971","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","TC11 - Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"passed","Thu Apr 27 21:34:42 GMT 2023","Thu Apr 27 21:34:45 GMT 2023","3561","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","TC19 - Delete Account","Click profile and delete account, then try login again"
