"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Apr 26 06:53:53 GMT 2023","Wed Apr 26 06:54:01 GMT 2023","7951","","tests.ListTraversalTest","","tests.ListTraversalTest","testWriteBlogTitlesFile","TC14 - Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
"failed","Wed Apr 26 06:53:49 GMT 2023","Wed Apr 26 06:53:50 GMT 2023","1570","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testNotAcceptTerms","TC2 - Refuse accepting terms","Refuse accepting terms by clicking on Close Icon"
"failed","Wed Apr 26 06:53:22 GMT 2023","Wed Apr 26 06:53:24 GMT 2023","2668","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","TC18 - Test profile name","Test if profile name is visible after setting account"
"passed","Wed Apr 26 06:53:43 GMT 2023","Wed Apr 26 06:53:45 GMT 2023","1424","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture2","TC21 - Save picture2 repetition 2 of 2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Wed Apr 26 06:53:19 GMT 2023","Wed Apr 26 06:53:22 GMT 2023","2199","","tests.NavigationTest","","tests.NavigationTest","testButtonHireMe","TC23 - Test 'Hire Me Now' button","Test if 'Hire Me Now' button navigates to Contact page"
"failed","Wed Apr 26 06:53:45 GMT 2023","Wed Apr 26 06:53:47 GMT 2023","2200","","tests.DataSavingTest","","tests.DataSavingTest","testFileDownload","TC22 - Test downloading CV","Failed download by clicking on 'Download CV' button"
"passed","Wed Apr 26 06:53:24 GMT 2023","Wed Apr 26 06:53:26 GMT 2023","1581","","tests.RegistrationTest","","tests.RegistrationTest","testRegistration","TC3 - Registration","Registration with right credentials"
"failed","Wed Apr 26 06:53:26 GMT 2023","Wed Apr 26 06:53:27 GMT 2023","1568","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithMissingPassword","TC4 - Registration, Wrong password","Registration using wrong password"
"passed","Wed Apr 26 06:53:02 GMT 2023","Wed Apr 26 06:53:04 GMT 2023","2037","","tests.DataListingTest","","tests.DataListingTest","testExperience","TC10 - Names of workplaces","Collect workplaces in String array and compare to a given file"
"passed","Wed Apr 26 06:53:36 GMT 2023","Wed Apr 26 06:53:37 GMT 2023","1447","","tests.LoginTest","","tests.LoginTest","testLoginWithWrongPassword","TC8 - Wrong login2","Login with wrong password"
"failed","Wed Apr 26 06:53:16 GMT 2023","Wed Apr 26 06:53:19 GMT 2023","3070","","tests.NavigationTest","","tests.NavigationTest","testPrivacyAndPolicyLink","TC24 - Test Privacy and policy link","Clicking on Privacy and Policy link the user is thrown out of Portio webpage"
"passed","Wed Apr 26 06:53:39 GMT 2023","Wed Apr 26 06:53:40 GMT 2023","1348","","tests.LoginTest","","tests.LoginTest","testLoginWithMissingUsername","TC7 - Wrong login1","Login with missing username"
"passed","Wed Apr 26 06:52:54 GMT 2023","Wed Apr 26 06:52:59 GMT 2023","5199","","tests.SequentialDataInputTest","","tests.SequentialDataInputTest","testLoginMultipleUsers","TC17 - Sequential login","Login repeatedly with valid credentials from JSON file."
"passed","Wed Apr 26 06:54:08 GMT 2023","Wed Apr 26 06:54:10 GMT 2023","2449","","tests.LogoutTest","","tests.LogoutTest","testLogout","TC26 - Logout","Logging out after logging in"
"passed","Wed Apr 26 06:53:14 GMT 2023","Wed Apr 26 06:53:16 GMT 2023","2654","","tests.NavigationTest","","tests.NavigationTest","testFacebookLink","TC25 - Test Facebook link","Clicking on Facebook link the user navigates to Facebook webpage"
"passed","Wed Apr 26 06:53:33 GMT 2023","Wed Apr 26 06:53:36 GMT 2023","2595","","tests.DataInputTest","","tests.DataInputTest","testSetProfile","TC15 - Set Profile","Set profile by giving credentials"
"passed","Wed Apr 26 06:53:04 GMT 2023","Wed Apr 26 06:53:06 GMT 2023","1817","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","TC9 - Number of workplaces","Get the size of workplaces' list"
"passed","Wed Apr 26 06:53:42 GMT 2023","Wed Apr 26 06:53:43 GMT 2023","1504","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture2","TC21 - Save picture2 repetition 1 of 2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Wed Apr 26 06:53:40 GMT 2023","Wed Apr 26 06:53:42 GMT 2023","1727","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture","Save picture1","TC20 - Save picture to an existing file"
"passed","Wed Apr 26 06:53:37 GMT 2023","Wed Apr 26 06:53:39 GMT 2023","1797","","tests.LoginTest","","tests.LoginTest","testLogin","TC6 - Login","Login with right credentials, accepting terms"
"passed","Wed Apr 26 06:53:06 GMT 2023","Wed Apr 26 06:53:14 GMT 2023","7809","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","TC11 - Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"failed","Wed Apr 26 06:53:27 GMT 2023","Wed Apr 26 06:53:29 GMT 2023","1533","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithWrongEmail","TC5 - Registration, Wrong email","Registration using wrong email"
"passed","Wed Apr 26 06:53:50 GMT 2023","Wed Apr 26 06:53:53 GMT 2023","2733","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","TC19 - Delete Account","Click profile and delete account, then try login again"
"passed","Wed Apr 26 06:53:00 GMT 2023","Wed Apr 26 06:53:02 GMT 2023","2233","","tests.DataListingTest","","tests.DataListingTest","testGetContactInfo","TC12 - Contact information","Compare expected HashMap of Contact information with a given JSON file"
"failed","Wed Apr 26 06:53:29 GMT 2023","Wed Apr 26 06:53:33 GMT 2023","3888","","tests.DataInputTest","","tests.DataInputTest","testContactForm","TC16 - Send message with Contact Form","Unsuccessful message sending: 'Oops! There was a problem.'"
"failed","Wed Apr 26 06:54:01 GMT 2023","Wed Apr 26 06:54:08 GMT 2023","6764","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","TC13 - Counting number of blog items","Add the number of blog posts with paginating the pages"
"passed","Wed Apr 26 06:53:47 GMT 2023","Wed Apr 26 06:53:49 GMT 2023","1601","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testAcceptTerms","TC1 - Accept terms","Accept terms by clicking on OK button before Registration"
