"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Tue Apr 25 17:47:53 GMT 2023","Tue Apr 25 17:47:56 GMT 2023","2264","","tests.DataSavingTest","","tests.DataSavingTest","testFileDownload","Test downloading CV","Failed download by clicking on 'Download CV' button"
"passed","Tue Apr 25 17:47:52 GMT 2023","Tue Apr 25 17:47:53 GMT 2023","1595","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture3","Save picture2 repetition 2 of 2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Tue Apr 25 17:47:59 GMT 2023","Tue Apr 25 17:48:02 GMT 2023","3174","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","Delete Account","Click profile and delete account, then try login again"
"failed","Tue Apr 25 17:48:02 GMT 2023","Tue Apr 25 17:48:06 GMT 2023","4015","","tests.ListTraversalTest","","tests.ListTraversalTest","testWriteBlogTitlesFile","Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
"passed","Tue Apr 25 17:47:50 GMT 2023","Tue Apr 25 17:47:52 GMT 2023","1761","","tests.DataSavingTest","","tests.DataSavingTest","testSavePicture3","Save picture2 repetition 1 of 2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Tue Apr 25 17:47:02 GMT 2023","Tue Apr 25 17:47:05 GMT 2023","2569","","tests.DataListingTest","","tests.DataListingTest","testGetContactInfo","Contact information","Compare expected HashMap of Contact information with a given JSON file"
"failed","Tue Apr 25 17:47:57 GMT 2023","Tue Apr 25 17:47:59 GMT 2023","1799","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testNotAcceptTerms","Refuse accepting terms","Refuse accepting terms by clicking on Close Icon"
"failed","Tue Apr 25 17:48:06 GMT 2023","Tue Apr 25 17:48:11 GMT 2023","4086","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","Counting number of blog items","Add the number of blog posts with paginating the pages"
"passed","Tue Apr 25 17:47:05 GMT 2023","Tue Apr 25 17:47:07 GMT 2023","2013","","tests.DataListingTest","","tests.DataListingTest","testExperience","Names of workplaces","Collect workplaces in String array and compare to a given file"
"passed","Tue Apr 25 17:47:46 GMT 2023","Tue Apr 25 17:47:48 GMT 2023","1608","","tests.LoginTest","","tests.LoginTest","testLoginWithMissingUsername","Wrong login1","Login with missing username"
"passed","Tue Apr 25 17:47:23 GMT 2023","Tue Apr 25 17:47:26 GMT 2023","2469","","tests.NavigationTest","","tests.NavigationTest","testButtonHireMe","Test 'Hire Me Now' button","Test if 'Hire Me Now' button navigates to Contact page"
"failed","Tue Apr 25 17:47:31 GMT 2023","Tue Apr 25 17:47:32 GMT 2023","1679","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithMissingPassword","Registration - Wrong password","Registration using wrong password"
"failed","Tue Apr 25 17:47:34 GMT 2023","Tue Apr 25 17:47:38 GMT 2023","4242","","tests.DataInputTest","","tests.DataInputTest","testContactForm","Send message with Contact Form","Unsuccessful message sending: 'Oops! There was a problem.'"
"failed","Tue Apr 25 17:47:32 GMT 2023","Tue Apr 25 17:47:34 GMT 2023","1686","","tests.RegistrationTest","","tests.RegistrationTest","testRegistrationWithWrongEmail","Registration - Wrong email","Registration using wrong email"
"failed","Tue Apr 25 17:47:26 GMT 2023","Tue Apr 25 17:47:29 GMT 2023","3069","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","Test profile name","Test if profile name is visible after setting account"
"passed","Tue Apr 25 17:47:44 GMT 2023","Tue Apr 25 17:47:46 GMT 2023","2430","","tests.LoginTest","","tests.LoginTest","testLogin","Login","Login with right credentials, accepting terms"
"failed","Tue Apr 25 17:47:20 GMT 2023","Tue Apr 25 17:47:23 GMT 2023","3291","","tests.NavigationTest","","tests.NavigationTest","testPrivacyAndPolicyLink","Test Privacy and policy link","Clicking on Privacy and Policy link the user is thrown out of Portio webpage"
"passed","Tue Apr 25 17:48:11 GMT 2023","Tue Apr 25 17:48:13 GMT 2023","2899","","tests.LogoutTest","","tests.LogoutTest","testLogout","Logout","Logging out after logging in"
"passed","Tue Apr 25 17:47:42 GMT 2023","Tue Apr 25 17:47:44 GMT 2023","1698","","tests.LoginTest","","tests.LoginTest","testLoginWithWrongPassword","Wrong login2","Login with wrong password"
"passed","Tue Apr 25 17:47:56 GMT 2023","Tue Apr 25 17:47:57 GMT 2023","1768","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testAcceptTerms","Accept terms","Accept terms by clicking on OK button before Registration"
"passed","Tue Apr 25 17:47:09 GMT 2023","Tue Apr 25 17:47:17 GMT 2023","8126","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"passed","Tue Apr 25 17:47:07 GMT 2023","Tue Apr 25 17:47:09 GMT 2023","1983","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","Number of workplaces","Get the size of workplaces' list"
