"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Sat Apr 22 21:11:44 GMT 2023","Sat Apr 22 21:11:46 GMT 2023","2573","","tests.BlogPage2Test","","tests.BlogPage2Test","testSavePicture2","Save picture2 repetition 2 of 2","Save picture with creating the file at the same time or deleting it if it exists"
"passed","Sat Apr 22 21:11:35 GMT 2023","Sat Apr 22 21:11:37 GMT 2023","1688","","tests.ContactPageTest","","tests.ContactPageTest","testGetContactInfo","Contact information","Compare expected HashMap of Contact information with a given JSON file"
"passed","Sat Apr 22 21:11:58 GMT 2023","Sat Apr 22 21:11:59 GMT 2023","1276","","tests.RegisterPageTest","","tests.RegisterPageTest","testRegistration","Registration","Registration with right credentials"
"passed","Sat Apr 22 21:11:06 GMT 2023","Sat Apr 22 21:11:07 GMT 2023","1368","","tests.LoginPageTest","","tests.LoginPageTest","testLogin","Login","Login with right credentials, accepting terms"
"passed","Sat Apr 22 21:11:51 GMT 2023","Sat Apr 22 21:11:53 GMT 2023","2165","","tests.ProfilePageTest","","tests.ProfilePageTest","testSetProfile","Set Profile","Set profile by giving credentials"
"failed","Sat Apr 22 21:12:04 GMT 2023","Sat Apr 22 21:12:05 GMT 2023","1181","","tests.AboutPageTest","","tests.AboutPageTest","testFileDownload","Test downloading CV","Failed download by clicking on 'Download CV' button"
"failed","Sat Apr 22 21:12:01 GMT 2023","Sat Apr 22 21:12:03 GMT 2023","1268","","tests.RegisterPageTest","","tests.RegisterPageTest","testRegistrationWithWrongEmail","Registration - Wrong email","Registration using wrong email"
"skipped","Sat Apr 22 21:11:39 GMT 2023","Sat Apr 22 21:11:39 GMT 2023","0","","tests.ContactPageTest","","tests.ContactPageTest","testContactFormWithoutCheckingCheckbox","Send message without checking checkbox","Unsuccessful message sending: 'Tooltip warning to check checkbox'"
"failed","Sat Apr 22 21:12:00 GMT 2023","Sat Apr 22 21:12:01 GMT 2023","1244","","tests.RegisterPageTest","","tests.RegisterPageTest","testRegistrationWithMissingPassword","Registration - Wrong password","Registration using wrong password"
"passed","Sat Apr 22 21:11:53 GMT 2023","Sat Apr 22 21:11:55 GMT 2023","1530","","tests.ResumePageTest","","tests.ResumePageTest","testYearsOfExperience","Periods of working times","Collect the work years in String array"
"passed","Sat Apr 22 21:11:56 GMT 2023","Sat Apr 22 21:11:58 GMT 2023","1433","","tests.ResumePageTest","","tests.ResumePageTest","testQuantityOfExperiences","Number of workplaces","Get the size of workplaces' list"
"passed","Sat Apr 22 21:11:07 GMT 2023","Sat Apr 22 21:11:08 GMT 2023","1156","","tests.LoginPageTest","","tests.LoginPageTest","testLoginWithMissingUsername","Wrong login1","Login with missing username"
"passed","Sat Apr 22 21:11:04 GMT 2023","Sat Apr 22 21:11:06 GMT 2023","1202","","tests.LoginPageTest","","tests.LoginPageTest","testLoginWithWrongPassword","Wrong login2","Login with wrong password"
"failed","Sat Apr 22 21:11:11 GMT 2023","Sat Apr 22 21:11:23 GMT 2023","12178","","tests.BlogPageTest","","tests.BlogPageTest","testWriteBlogThemesFile","Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
