"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Apr 27 11:40:45 GMT 2023","Thu Apr 27 11:40:47 GMT 2023","2260","","tests.DataListingTest","","tests.DataListingTest","testExperience","TC10 - Names of workplaces","Collect workplaces in String array and compare to a given file"
"passed","Thu Apr 27 11:40:19 GMT 2023","Thu Apr 27 11:40:37 GMT 2023","17881","","tests.ListTraversalTest","","tests.ListTraversalTest","testGetTotalItems","TC13 - Counting number of blog items","Add the number of blog posts with paginating the pages"
"passed","Thu Apr 27 11:40:39 GMT 2023","Thu Apr 27 11:40:40 GMT 2023","1206","","tests.LoginTest","","tests.LoginTest","testLoginWithWrongPassword","TC8 - Wrong login2","Login with wrong password"
"passed","Thu Apr 27 11:40:50 GMT 2023","Thu Apr 27 11:40:58 GMT 2023","7900","","tests.DataListingTest","","tests.DataListingTest","testGetSkills","TC11 - Skill types & percents in HashMap","Collect all the Skill types & percents in a HashMap"
"failed","Thu Apr 27 11:39:24 GMT 2023","Thu Apr 27 11:39:42 GMT 2023","18275","","tests.DataModificationTest","","tests.DataModificationTest","testProfileUsername","TC18 - Test profile name","Test if profile name is visible after setting account"
"passed","Thu Apr 27 11:39:55 GMT 2023","Thu Apr 27 11:40:00 GMT 2023","4436","","tests.DataDeletionTest","","tests.DataDeletionTest","testDeleteAccount","TC19 - Delete Account","Click profile and delete account, then try login again"
"passed","Thu Apr 27 11:40:40 GMT 2023","Thu Apr 27 11:40:42 GMT 2023","1434","","tests.LoginTest","","tests.LoginTest","testLogin","TC6 - Login","Login with right credentials, accepting terms"
"passed","Thu Apr 27 11:40:11 GMT 2023","Thu Apr 27 11:40:19 GMT 2023","7999","","tests.ListTraversalTest","","tests.ListTraversalTest","testWriteBlogTitlesFile","TC14 - Write file","Collect bolg posts' titles iterating through them and save the text to a file, then read them and compare with expected String"
"passed","Thu Apr 27 11:40:37 GMT 2023","Thu Apr 27 11:40:38 GMT 2023","1357","","tests.TermsAndConditionsTest","","tests.TermsAndConditionsTest","testAcceptTerms","TC1 - Accept terms","Accept terms by clicking on OK button before Registration"
"passed","Thu Apr 27 11:40:47 GMT 2023","Thu Apr 27 11:40:50 GMT 2023","2292","","tests.DataListingTest","","tests.DataListingTest","testQuantityOfExperiences","TC9 - Number of workplaces","Get the size of workplaces' list"
