"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Technical functionalities","","Navigation","1","1","4","0","0"
"Technical functionalities","","Navigating","8","3","9","0","0"
"Technical functionalities","","FileDownloading","1","0","0","0","0"
"Content functionalities","","Resume","1","1","3","0","0"
"Content functionalities","","GetData","1","0","3","0","0"
"Content functionalities","","CountItems","0","0","1","0","0"
"Content functionalities","","Slider","0","0","2","1","0"
"Technical functionalities","","Registration","2","0","1","0","0"
"Technical functionalities","","Login","0","0","5","0","0"
"Content functionalities","","Portfolio","0","0","3","0","0"
"Technical functionalities","","Logout","0","0","1","0","0"
"Technical functionalities","","Filewriting","1","0","2","0","0"
"Content functionalities","","Forms","1","0","0","1","0"
"Technical functionalities","","Profile","1","0","2","0","0"
"Technical functionalities","","JSONFile reading","0","0","1","0","0"
