"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Data modification","","Data input","1","0","1","1","0"
"Lists of data","","Data input","1","0","0","1","0"
"Technical functionalities","","Login","0","0","5","0","0"
"File handling","","Write file","1","0","0","0","0"
"Lists of data","","Write file","1","0","0","0","0"
"File handling","","Data count","0","0","2","0","0"
"Lists of data","","Data count","0","0","2","0","0"
"Technical functionalities","","Accepting terms","0","0","1","0","0"
"Technical functionalities","","Registration","2","0","1","0","0"
"File handling","","Navigation with button","0","0","1","0","0"
"Navigation","","Navigation with button","0","0","1","0","0"
"File handling","","Save picture","0","0","3","0","0"
"Lists of data","","Save picture","0","0","3","0","0"
"Data modification","","Data storage","0","0","1","0","0"
"Lists of data","","Data storage","0","0","3","0","0"
"Technical functionalities","","Logout","0","0","1","0","0"
"Technical functionalities","","Close terms instead of accepting","1","0","0","0","0"
"File handling","","File download","1","0","0","0","0"
"Navigation","","File download","1","0","0","0","0"
"Navigation","","Navigate with link","1","0","1","0","0"
"File handling","","Read file","0","0","1","0","0"
"Lists of data","","Read file","0","0","1","0","0"
"Data modification","","Data deletion","0","0","1","0","0"
"Data modification","","Data modification","1","0","0","0","0"
"File handling","","Data storage","0","0","1","0","0"
