"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Apr 16 20:52:55 GMT 2023","Sun Apr 16 20:52:57 GMT 2023","1710","","org.example.portio.ContactPageTest","","org.example.portio.ContactPageTest","testNavigateToContactPageWithContactMeButton","testNavigateToContactPageWithContactMeButton()",""
"passed","Sun Apr 16 20:54:04 GMT 2023","Sun Apr 16 20:54:09 GMT 2023","4547","","org.example.portio.FooterPageTest","","org.example.portio.FooterPageTest","testFrequentlyAskedQuestionLink","testFrequentlyAskedQuestionLink()",""
"failed","Sun Apr 16 20:53:00 GMT 2023","Sun Apr 16 20:53:07 GMT 2023","7097","","org.example.portio.BlogPage2Test","","org.example.portio.BlogPage2Test","testHomeLink","testHomeLink()",""
"passed","Sun Apr 16 20:55:12 GMT 2023","Sun Apr 16 20:55:13 GMT 2023","1028","","org.example.portio.SkillsPageTest","","org.example.portio.SkillsPageTest","testGetSkillPercents","testGetSkillPercents()",""
"passed","Sun Apr 16 20:53:44 GMT 2023","Sun Apr 16 20:53:46 GMT 2023","2008","","org.example.portio.RegisterPageTest","","org.example.portio.RegisterPageTest","testRegistration","testRegistration()",""
"passed","Sun Apr 16 20:53:52 GMT 2023","Sun Apr 16 20:53:53 GMT 2023","1007","","org.example.portio.HomePageTest","","org.example.portio.HomePageTest","testLinkService","testLinkService()",""
"failed","Sun Apr 16 20:52:57 GMT 2023","Sun Apr 16 20:53:00 GMT 2023","3232","","org.example.portio.ProfilePageTest","","org.example.portio.ProfilePageTest","testProfileUsername","testProfileUsername()",""
"broken","Sun Apr 16 20:54:20 GMT 2023","Sun Apr 16 20:54:35 GMT 2023","14305","","org.example.portio.FooterPageTest","","org.example.portio.FooterPageTest","testAboutMeLink","testAboutMeLink()",""
"passed","Sun Apr 16 20:52:41 GMT 2023","Sun Apr 16 20:52:42 GMT 2023","1278","","org.example.portio.LoginPageTest","","org.example.portio.LoginPageTest","testLoginWithMissingUsername","testLoginWithMissingUsername()",""
"failed","Sun Apr 16 20:52:50 GMT 2023","Sun Apr 16 20:52:53 GMT 2023","2142","","org.example.portio.ContactPageTest","","org.example.portio.ContactPageTest","testNavigateFromContactPageBackToHomePage","testNavigateFromContactPageBackToHomePage()",""
"failed","Sun Apr 16 20:53:14 GMT 2023","Sun Apr 16 20:53:24 GMT 2023","10090","","org.example.portio.BlogPage2Test","","org.example.portio.BlogPage2Test","testWriteBlogThemesFile","testWriteBlogThemesFile()",""
"passed","Sun Apr 16 20:52:43 GMT 2023","Sun Apr 16 20:52:45 GMT 2023","1448","","org.example.portio.LoginPageTest","","org.example.portio.LoginPageTest","testLoginWithEnter","testLoginWithEnter()",""
"broken","Sun Apr 16 20:54:35 GMT 2023","Sun Apr 16 20:54:49 GMT 2023","14336","","org.example.portio.FooterPageTest","","org.example.portio.FooterPageTest","testTermsAndConditionsLink","testTermsAndConditionsLink()",""
